" ABSTCODE","ABSTRACTDESC"
"0010","VACANT LAND - POSSESSORY INTEREST"
"0100","VACANT RESIDENTIAL LAND"
"0200","VACANT COMMERCIAL LOTS"
"0300","VACANT INDUSTRIAL LAND"
"0400","VACANT PUD LOTS"
"0510","LESS THAN 1 AC"
"0520","1 AC TO L/T 5 AC"
"0530","5 AC TO L/T 10 AC"
"0540","10 AC TO L/T 35 AC"
"0550","35 AC TO L/T 100 AC"
"0560","100 ACRE & UP"
"0700","NON-MINOR STRUCTURES"
"1020","RESIDENTIAL - POSSESSORY INTEREST"
"1112","SINGLE FAMILY RESIDENTIAL-LAND"
"1115","DUP/TRIPLEX LAND"
"1120","MULTI-UNITS(4-8)-LAND"
"1125","MULTI-UNITS(9 +)-LAND"
"1130","CONDO-LAND"
"1135","MANUFACTURED HOUSING-LAND"
"1140","MANUFACTURED HOUSING PARK-LAND"
"1145","PARSONAGE/RECTORIES ETC-LAND"
"1150","PARTIALLY EXEMPT PROP-LAND"
"1177","PROPERTY NOT INTEGRAL TO AG - LAND"
"1198","GENERAL COMMON ELEMENTS"
"1199","HOMEOWNERS LAND"
"1212","SINGLE FAMILY RESIDENTIAL IMPROVEMENTS"
"1215","DUP/TRIPLEX IMPROVEMENTS"
"1220","MULTI-UNITS(4-8)-IMPRVMTS"
"1225","MULTI-UNITS(9 +)-IMPRVMTS"
"1230","CONDOS"
"1235","MANUFACTURED HOUSING-IMPRVMT"
"1240","MANUFACTURED HOUSING PARK-IMPS"
"1277","PROPERTY NOT INTEGRAL TO AG - IMPROVEMENTS"
"1278","MANUFACTURED HOMES NOT INTEGRAL TO AG"
"1298","GENERAL COMMON ELEMENTS IMPS"
"1299","HOMEOWNERS IMPS"
"1410","PERSONAL-FURNISHINGS,EFFECTS"
"2020","AIRPORT - POSSESSORY INTEREST"
"2021","ENTERTAINMENT - POSSESSORY INTEREST"
"2022","RECREATION - POSSESSORY INTEREST"
"2023","OTHER COMMERCIAL - POSSESSORY INTEREST"
"2040","COMMERCIAL PP - POSSESSORY INTEREST"
"2112","MERCHANDISING-LAND"
"2115","LODGING-LAND"
"2117","RENEWABLE ENERGY-LAND"
"2120","OFFICES-LAND"
"2125","RECREATION-LAND"
"2130","SPECIAL PURPOSE-LAND"
"2135","WAREHOUSE/STORAGE-LAND"
"2140","MULTI-USE(3 OR MORE)-LAND"
"2150","PARTIALLY EXEMPT PROPERTY TAXABLE PORTION LAND"
"2212","MERCHANDISING-IMPROVEMENT"
"2215","LODGING-IMPROVEMENTS"
"2217","RENEWABLE ENERGY-IMPROVEMENTS"
"2220","OFFICES-IMPROVEMENTS"
"2225","RECREATION-IMPROVEMENTS"
"2230","SPECIAL PURPOSE-IMPROVEMENTS"
"2235","WAREHOUSE/STORAGE-IMPS"
"2240","MULTI-USE(3 OR MORE)-IMPS"
"2245","COMMERCIAL CONDOS"
"2250","PARTIALLY EXEMPT PROPERTY TAXABLE PORTION IMPS"
"2262","COMMERCIAL CONDO IMPS"
"2410","EQUIP,FURN,MACH,COMM"
"2412","LODGING PERSONAL PROPERTY"
"2415","RENEWABLE ENERGY PERSONAL PROPERTY"
"2420","LESSOR EQUIPMENT"
"2499","Pers Prop Penalty"
"3020","INDUSTRIAL - POSSESSORY INTEREST"
"3040","INDUSTRIAL PP - POSSESSORY INTEREST"
"3112","CONTRACTING/SERVICE-LAND"
"3115","MANUFACTURED/PROCESSING-LAND"
"3120","REFINING/MILLING-LAND"
"3125","REFINING/PETROLEUM-LAND"
"3212","CONTRACTING/SERVICE-IMPS"
"3215","MANUFACTURED PROCESSING-IMPS"
"3220","REFINING/MILLING-IMPS"
"3225","REFINING/PETROLEUM-IMPS"
"3230","INDUSTRIAL CONDOS"
"3410","EQUIP/FURN,MACH--INDSTRL"
"4020","AGRICULTURAL - POSSESSORY INTEREST"
"4107","SPRINKLER IRRIGATED LAND"
"4117","FLOOD IRRIGATED LAND-AGRICULTURAL"
"4127","DRY FARM LAND-AGRICULTURAL"
"4137","MEADOW HAY LAND-AGRICULTURAL"
"4147","GRAZING LAND-AGRICULTURAL"
"4165","FARM MH HOOK UP"
"4166","PD UP INTEREST"
"4167","WASTE LAND"
"4180","ALL OTHER AGRICULTURAL LAND"
"4181","ALL OTHER AGRICULTURAL LAND"
"4277","FARM/RANCH RESIDENCE-IMPS"
"4278","FARM MANUFACTURED HOME"
"4279","FARM RANCH SUPPORT BLDGS"
"4280","ALL OTHER AG IMPS"
"4410","PERS PROP - AGRICULTURAL"
"5110","COAL-LAND"
"5120","EARTH/STONE PRODUCTS-LAND"
"5140","NON PROD(PATENTED)-L/M"
"5150","COAL MINERAL RIGHTS - SEVERED NON PROD"
"5170","SEVERED INTEREST-MINERALS"
"5210","COAL-IMPROVEMENTS"
"5220","EARTH/STONE PRODUCTION-IMPS"
"5240","NON PROD(PATENTED)-IMPS"
"5250","NONPRODUCING UNPAT.-IMPs"
"5410","P.P.-COAL-EQUIP,FURN,MACH"
"5420","EARTH/STONE PROD/EQUIP"
"5440","NON PROD(PAT)-EQUIP,FURN"
"5450","NON PROD(UNPAT)EQUIP,FURN"
"6000","NEW SUBS NO VALUE"
"6001","NEW SPLIT NO VALUE"
"6002","PURGED MH NO VALUE"
"6003","WATER SPECIAL ASSMNT"
"6004","NEW MANUFACTURED HOME"
"6005","DUMMY CODE FOR ABATEMENTS"
"6006","UNKNOWN OWNER"
"6007","MARKET VALUE"
"7110","PRODUCING OIL(PRIMARY)-LAND"
"7112","PRODUCING OIL(PRIMARY)-AUDIT ADJ"
"7120","PRODUCING OIL(SECONDARY)-LAND"
"7122","PRODUCING OIL(SECONDARY)-AUDIT ADJ"
"7130","PRODUCING GAS(PRIMARY)-LAND"
"7131","PRODUCING NGL(PRIM)-LAND"
"7132","PRODUCING GAS(PRIMARY)-AUDIT ADJ"
"7140","PRODUCING GAS(SECONDARY)-LAND"
"7141","PRODUCING NGL(SECONDARY)-LAND"
"7142","PRODUCING GAS(SECONDARY)-AUDIT ADJ"
"7155","PRODUCING NGL(PRIMARY)-LAND"
"7156","PRODUCING NGL(SECONDARY)-LAND"
"7190","PRODUCING WATER"
"7191","PRODUCING WATER SECONDARY"
"7199","OIL PROD PENALTY"
"7210","PRODUCING OIL(PRIMARY)-IMPS"
"7220","PRODUCING OIL(SECONDARY)-IMPS"
"7230","PRODUCING GAS(PRIMARY)-IMPS"
"7240","PRODUCING GAS(SECONDARY)-IMPS"
"7250","OIL SHALE/INSITU-IMPS."
"7410","PRODUCING OIL(PRIMARY)-EQUIP,FURN"
"7411","PROD OIL(PRIMARY)-LEASED EQUIP,FURN"
"7420","PRODUCING OIL(SECONDARY)EQUP.FURN"
"7430","PRODUCING GAS(PRIMARY)EQUIP,FURN"
"7431","PROD GAS(PRIMARY)-LEASED EQUIP,FURN"
"7440","PRODUCING GAS(SECONDARY)EQUIP,FURN"
"7450","OIL SHALE/INSITU-EQUIP,FN"
"7455","PRODUCING NGL(PRIMARY)-EQUIP,FURN"
"7460","PIPELINES"
"7470","DRILLING RIGS"
"7499","Oil Pers Prop Penalty"
"8000","STATE ASSESSED REAL (AUTHORITY)"
"8001","COMMON CARRIERS REG.PROP."
"8002","STATE ASSESSED REAL (COUNTY WIDE)"
"8003","NEW CONSTRUCTION 5.5 CORP (ASSESSED)"
"8004","NEW CONSTRUCTION TABOR (ACTUAL)"
"8010","STATE ASSESSED PP (AUTHORITY)"
"8012","STATE ASSESSED PP (COUNTY WIDE)"
"8112","RAIL CAR LINES-REAL P"
"8210","COMMON CARRIER RR-REAL P."
"8211","OTHER RAIL ROAD-REAL P."
"8212","RAIL CAR LINES-REAL P."
"8220","AIRLINES-REAL P."
"8230","PETROCHEM PIPELINE-REAL P"
"8240","GEN.TELEPHNE & TLG-REAL P"
"8241","IND.TELEPHNE &TELG-REAL P"
"8242","RADIO MOBILE TELEP-REAL P"
"8243","TELEPHONE RESELLERS"
"8250","ELECTRIC COMPANY-REAL P."
"8251","RURAL ELECTRIC CO.-REAL P"
"8252","STATE ASSESSED REAL - RENEWABLE ENERGY"
"8260","GAS TRANS. PIPLINE-REAL P"
"8270","GAS DISTR.PIPELINE-REAL P"
"8280","DOMESTIC WATER CO.-REAL P"
"8410","COMMON CARRIER RR-PERS.P."
"8411","OTHER RAILROAD CO.-PERS.P"
"8412","RAIL CARLINE CO.- PERS.P."
"8420","AIRLINE CO.-PERS.P."
"8430","PETROCHEM PIPELINE-PERS.P"
"8440","GEN.TELPHNE & TELE-PERS.P"
"8441","IND TELPHNE & TELE-PERS P"
"8442","RADIO MOBILE TELE-PERS P."
"8450","ELECTRIC CO-PERS.P."
"8451","RURAL ELECTRIC CO-PERS.P."
"8452","STATE ASSESSED PP - RENEWABLE ENERGY"
"8460","GAS TRANS.PIPLINE-PERS.P."
"8470","GAS TRANS PIPLINE-PERS.P."
"8480","DOMESTIC WATER CO-PERS.P."
"8501","AIR CERTIFIED CARRIERS"
"8690","PIPE LINES-EX. NTRL GAS"
"8811","TELEPHONE COMMUNICATIONS"
"8821","TELEGRAPH COMMUNICATIONS"
"8831","RADIO-TELEPHONE COMPS."
"8900","STATE ASSESSED LAND"
"8901","STATE ASSESSED IMPROVEMENTS"
"8915","RURAL ELECTRIC COMPANIES"
"8920","GAS PIPELINE CARRIERS"
"8930","GAS DIST&TRANS.PIPELINES"
"8940","WATER"
"8991","STATE ASSESSED-REG.PROP."
"9110","EXEMPT-FEDERAL RESIDENTIAL LAND"
"9119","EXEMPT-FEDERAL NON RESIDENTIAL LAND"
"9120","EXEMPT-STATE RESIDENTIAL LAND"
"9120A","EXEMPT-STATE RESIDENTIAL LAND - MULTIFAMILY"
"9124","EXEMPT-LAND STATE HIGHWAY"
"9129","EXEMPT-STATE NON RESIDENTIAL LAND"
"9129A","EXEMPT-STATE NON RESIDENTIAL LAND - AG"
"9130","EXEMPT-COUNTY RESIDENTIAL LAND"
"9132","EXEMPT-LAND COUNTY ROAD"
"9136","EXEMPT/MINERAL GRAVEL RESERVES"
"9139","EXEMPT-COUNTY NON RESIDENTIAL LAND"
"9140","EXEMPT-POLITICAL RESIDENTIAL LAND"
"9140A","EXEMPT-POLITICAL RESIDENTIAL LAND - MULTIFAMILY"
"9141","EXEMPT-LAND POLITICAL ROAD"
"9149","EXEMPT-POLITICAL NON RESIDENTIAL LAND"
"9149A","EXEMPT-POLITICAL NON RESIDENTIAL LAND - AG"
"9150","EXEMPT/RELIGIOUS RESIDENTIAL LAND"
"9159","EXEMPT/RELIGIOUS NON RESIDENTIAL LAND"
"9160","EXEMPT/PRIVATE SCHOOL RES LAND"
"9169","EXEMPT/PRIVATE SCHOOL NON RES LAND"
"9170","EXEMPT/CHARITABLE RESIDENTIAL LAND"
"9179","EXEMPT/CHARITABLE NON RESIDENTIAL LAND"
"9181","FAMILY SERVICE FACILITY"
"9193","IRRIGATION IMPS-EXEMPT"
"9199","EXEMPT ALL OTHER LAND"
"9210","EXEMPT-FEDERAL RESIDENTIAL IMPS"
"9219","EXEMPT-FEDERAL NON RESIDENTIAL IMPS"
"9220","EXEMPT-STATE RESIDENTIAL IMPS"
"9220A","EXEMPT-STATE RESIDENTIAL IMPS - MULTIFAMILY"
"9224","EXEMPT-IMPS STATE HIGHWAY"
"9227","COLLEGES"
"9229","EXEMPT-STATE NON RESIDENTIAL IMPS"
"9229A","EXEMPT-STATE NON RESIDENTIAL IMPS - AG"
"9230","EXEMPT-COUNTY RESIDENTIAL IMPS"
"9232","EXEMPT-IMPS COUNTY ROAD"
"9236","EXEMPT/MINERAL GRAVEL RESERVES"
"9239","EXEMPT-COUNTY NON RESIDENTIAL IMPS"
"9240","EXEMPT-POLITICAL RESIDENTIAL IMPS"
"9240A","EXEMPT-POLITICAL RESIDENTIAL IMPS - MULTIFAMILY"
"9249","EXEMPT-POLITICAL NON RESIDENTIAL IMPS"
"9249A","EXEMPT-POLITICAL NON RESIDENTIAL IMPS - AG"
"9250","EXEMPT/RELIGIOUS RESIDENTIAL IMPS"
"9259","EXEMPT/RELIGIOUS NON RESIDENTIAL IMPS"
"9260","EXEMPT/PRIVATE SCHOOL RESIDENTIAL IMPS"
"9269","EXEMPT/PRIVATE SCHOOL NON RES IMPS"
"9270","EXEMPT/CHARITABLE RESIDENTIAL IMPS"
"9279","EXEMPT/CHARITABLE NON RESIDENTIAL IMPS"
"9281","FAMILY SERVICE FACIILTY"
"9290M","EXEMPT ALL OTHER RESIDENTIAL"
"9299","EXEMPT ALL OTHER IMP"
"9410","EXEMPT-PERSONAL AGRICULTURAL (CEAF)"
"9420","EXEMPT-PERSONAL EV CHARGING STATION"
"9450","RESIDENTIAL RELIGIOUS"
"9459","EXEMPT/PERSONAL NON RESIDITIAL"
"9810","EXEMPT PRIMARY OIL"
"9819","EXEMPT - PER. PROP.- FED."
"9829","EXEMPT - PER.PROP.-STATE"
"9830","EXEMPT PRIMARY GAS"
"9831","EXEMPT PRIMARY NGL"
"9839","EXEMPT-PER. PROP.-COUNTY"
"9849","EXEMPT-PER.PROP.-POL.SUBD"
"9850","EXEMPT TOWNS"
"9855","EXEMPT PRIMARY NGL"
"9859","EXEMPT-PER.PROP-RELIGIOUS"
"9860","MUNICIPAL CORPORATIONS"
"9869","EXEMPT-PER.PROP.-SCHOOLS"
"9870","EXEMPT - TRIBAL COUNCIL"
"9879","EXEMPT-PER.PROP.-CHARITY"
"9889","EXEMPT-PER.PROP-PARSONAGE"
"9890","EXEMPT OTHER REASONS"
